LID,License Number,License Type,Status,Licensee,Premises,Premises Address,Premises Mailing Address,Premises Owner,Premises Manager,County,Municipality,Last Issue Date,Expiration Date
124513,AB57198,Alcohol Beverage,Active,FREE PEOPLE DISTILLING INC,FREE PEOPLE DISTILLING INC,"2685 BRISTOL PIKE, BENSALEM PA 19020-5344","2685 BRISTOL PIKE, BENSALEM PA 19020-5344",,,Bucks County,Bensalem Twp,"Dec 5,2024","Dec 31,2028"
125749,AB57478,Alcohol Beverage,Active,THE LION BREWERY INC,THE LION BREWERY INC,"1001 SATHERS DR, PITTSTON PA 18640-9573","1001 SATHERS DR, PITTSTON PA 18640-9573",,,Luzerne County,Pittston,"Nov 26,2024","Dec 31,2028"
126888,AB58312,Alcohol Beverage,Active,SPRUCE STREET BEVERAGES LLC,SPRUCE STREET BEVERAGES LLC,"3450 SALMON ST 1ST FL, PHILADELPHIA PA 19134-6025","3450 SALMON ST 1ST FL, PHILADELPHIA PA 19134-6025",,,Philadelphia County,Philadelphia City,"Dec 30,2024","Dec 31,2028"
100479,AB43641,Alcohol Beverage,Active,"INTEGRATED DISPENSE SYSTEMS, LLC",INTEGRATED DISPENSE SYSTEMS,"7811 STEUBENVILLE PK, OAKDALE PA 15071","7811 STEUBENVILLE PK, OAKDALE PA 15071",,,Allegheny County,Oakdale,"Feb 18,2025","Dec 31,2028"
126227,AB58691,Alcohol Beverage,Active,YARDLEY LOBSTER LLC,LA LA LOBSTER/YARDLEY DISTILLERY,"35 S MAIN ST, YARDLEY PA 19067-1510","35 S MAIN ST, YARDLEY PA 19067-1510",,,Bucks County,Yardley,"Mar 12,2025","Dec 31,2028"
95960,AB40183,Alcohol Beverage,Active,LAUREL HIGHLANDS BAKED GOODS LLC,LAUREL HIGHLANDS BAKED GOODS,"600 STATE ST UNIT A, CLAIRTON PA 15025-1876","600 STATE ST UNIT A, CLAIRTON PA 15025-1876",,,Allegheny County,Jefferson Hills,"Oct 30,2024","Dec 31,2028"
108990,AE48780,Alcohol Tax-Exempt,Active,INDIANA UNIVERSITY OF PENNSYLVANIA,INDIANA UNIVERSITY OF PENNSYLVANIA,"CLARK HALL B26  1090 SOUTH DR, INDIANA PA 15705","CLARK HALL B26  1090 SOUTH DR, INDIANA PA 15705",,,Indiana County,Indiana,"Sep 9,2024","Dec 31,2028"
264,AE728,Alcohol Tax-Exempt,Active,GEISINGER-WYOMING VALLEY MEDICAL CENTER,GEISINGER-WYOMING VALLEY MEDICAL CENTER,"PHARMACY 34-06 1000 E MOUNTAIN DR, WILKES BARRE PA 18711","PHARMACY 34-06 1000 E MOUNTAIN DR, WILKES BARRE PA 18711",,,Luzerne County,Wilkes Barre,"Sep 12,2024","Dec 31,2028"
197,AE454,Alcohol Tax-Exempt,Active,NAZARETH HOSPITAL,NAZARETH HOSPITAL,"2601 HOLME AVE, PHILADELPHIA PA 19152-2007","2601 HOLME AVE, PHILADELPHIA PA 19152-2007",,,Philadelphia County,Philadelphia City,"Oct 4,2024","Dec 31,2028"
29179,AE19,Alcohol Tax-Exempt,Active,JEFFERSON HEALTH SERVICES,JEFFERSON HEALTH SERVICES,"JEFFERSON HOSPITAL  COAL VLY RD, PITTSBURGH PA 15236","PO Box 18119, PITTSBURGH PA 15236-0119",,,Allegheny County,Pittsburgh,"Oct 3,2024","Dec 31,2028"
