"","LID","License Number","License Type","Status","Licensee","Premises","Premises Address","Premises Mailing Address","Premises Owner","Premises Manager","County","Municipality","Last Issue Date","Expiration Date","lon","lat"
"1",126888,"AB58312","Alcohol Beverage","Active","SPRUCE STREET BEVERAGES LLC","SPRUCE STREET BEVERAGES LLC","3450 SALMON ST 1ST FL, PHILADELPHIA PA 19134-6025","3450 SALMON ST 1ST FL, PHILADELPHIA PA 19134-6025",NA,NA,"Philadelphia County","Philadelphia City","Dec 30,2024","Dec 31,2028",-75.0956074,39.9872425
"2",197,"AE454","Alcohol Tax-Exempt","Active","NAZARETH HOSPITAL","NAZARETH HOSPITAL","2601 HOLME AVE, PHILADELPHIA PA 19152-2007","2601 HOLME AVE, PHILADELPHIA PA 19152-2007",NA,NA,"Philadelphia County","Philadelphia City","Oct 4,2024","Dec 31,2028",-75.041675,40.0589588
"3",96220,"AN40338","Alcohol Non-Beverage","Active","EARTH CRAFT LLC","EARTH CRAFT LLC","1772 FRANKFORD AVE, PHILADELPHIA PA 19125","1772 FRANKFORD AVE, PHILADELPHIA PA 19125",NA,NA,"Philadelphia County","Philadelphia City","Mar 28,2025","Dec 31,2028",-75.1322277,39.9764722
"4",123331,"AN57094","Alcohol Non-Beverage","Active","AMERICAN PHILOSOPHICAL SOCIETY","CONSERVATION LABORATORY","427 CHESTNUT ST, PHILADELPHIA PA 19106-2426","427 CHESTNUT ST, PHILADELPHIA PA 19106-2426",NA,NA,"Philadelphia County","Philadelphia City","Oct 18,2024","Dec 31,2028",-75.1485399,39.9490456
"5",128146,"AN59077","Alcohol Non-Beverage","Active","VINTABIO INC","VINTABIO INC","4050 S 26TH ST, PHILADELPHIA PA 19112-1615","4050 S 26TH ST, PHILADELPHIA PA 19112-1615",NA,NA,"Philadelphia County","Philadelphia City","Dec 11,2024","Dec 31,2028",-75.1948463,39.8996832
"6",117213,"AN53708","Alcohol Non-Beverage","Active","COORDNA BIO INC","CIC PHILADELPHIA","3675 MARKET ST STE 101, PHILADELPHIA PA 19104-2897","3675 MARKET ST, STE 200, PHILADELPHIA PA 19104-2897",NA,NA,"Philadelphia County","Philadelphia City","Sep 11,2024","Dec 31,2028",-75.1950287,39.9561126
"7",83883,"AN32452","Alcohol Non-Beverage","Active","FRONTIDA BIOPHARM INC","FRONTIDA BIOPHARM INC","7722 DUNGAN  RD, PHILADELPHIA PA 19111","7722 DUNGAN  RD, PHILADELPHIA PA 19111",NA,NA,"Philadelphia County","Philadelphia City","Aug 27,2026","Dec 31,2028",-75.0733431,40.0639838
"8",133040,"AN61418","Alcohol Non-Beverage","Active","LEGEND BIOTECH CORP","LEGEND BIOTECH","2300 MARKET ST FLOOR 3, PHILADELPHIA PA 19103","2300 MARKET ST FLOOR 3, PHILADELPHIA PA 19103",NA,NA,"Philadelphia County","Philadelphia City","Oct 9,2025","Dec 31,2028",-75.1783517,39.9540039
"9",87610,"AN34926","Alcohol Non-Beverage","Active","ATGC INC","ATGC INC","1004 W 9TH AVENUE SUITE 10, KING OF PRUSSIA PA 19406","1004 W 9TH AVENUE SUITE 10, KING OF PRUSSIA PA 19406",NA,NA,"Philadelphia County","Philadelphia City","Aug 4,2026","Dec 31,2028",-75.4130765,40.1021925
"10",132718,"AR61631","Airport Restaurant (Liquor)","Active","THE GROVE/M2 JV LLC","PRETZELS & PINTS","PHILADELPHIA INTERNATIONAL AIRPORT  8500 ESSINGTON AVE  TERMINAL A EAST SPACE AE-BAR TOP A, PHILADELPHIA PA 19153","3 WESTBROOK CORPORATE CTR STE 500, WESTCHESTER IL 60154-5796","CITY OF PHILADELPHIA","RICHARD K GEE","Philadelphia County","Philadelphia City","Apr 30,2026","Oct 31,2026",-75.2436987,39.8729797
"11",130662,"AR61057","Airport Restaurant (Liquor)","Active","JACKMONT OF PHILADELPHIA LLC","OYSTER HOUSE","8500 ESSINGTON AVE 2ND FL B&C CONNECTOR SPACE #BC13, PHILADELPHIA PA 19153-7027","1760 PEACHTREE ST NW STE 200, ATLANTA GA 30309-2335","CITY OF PHILADELPHIA","THOMAS J HENNEMAN","Philadelphia County","Philadelphia City","Sep 2,2025","Oct 31,2026",-75.2418899,39.8787479
"12",120005,"AR56036","Airport Restaurant (Liquor)","Active","AIRPORT DINING INC.","SABRINA'S CAFE","8500 ESSINGTON AVE TERMINAL C -SPACE C5/C6, PHILADELPHIA PA 19153-3755","8500 ESSINGTON AVE TERMINAL C -SPACE C5/C6, PHILADELPHIA PA 19153-3755","MARKETPLACE PHL LLC","LANG T DO-BATTISTA","Philadelphia County","Philadelphia City","Aug 28,2025","Oct 31,2026",-75.2418899,39.8787479
"13",84267,"C2796","Club (Liquor)","Safekeeping","SAM GLAWEAH FOUNDATION INC","SAM GLAWEAH FOUNDATION INC","2515 ISLAND AVE, PHILADELPHIA PA 19153-2226","2515 ISLAND AVE, PHILADELPHIA PA 19153-2226","MOHAMED D EL AHWANY","SAM J GLAWEAH","Philadelphia County","Philadelphia City","Feb 20,2026","Oct 31,2026",-75.2427717,39.9124553
"14",41468,"C3018","Club (Liquor)","Active","IUPAT DISTRICT COUNCIL 21","IUPAT DISTRICT COUNCIL 21","2980 SOUTHAMPTON-BYBERRY RD, PHILADELPHIA PA 19154-1202","2980 SOUTHAMPTON-BYBERRY RD, PHILADELPHIA PA 19154-1202","JOSEPH T ASHDALE","DEBORAH ANCONE","Philadelphia County","Philadelphia City","Oct 15,2025","Oct 31,2026",-74.9822118,40.102594
"15",1780,"C3866","Club (Liquor)","Active","PHILADELPHIA FIRE OFFICERS UNION","PHILADELPHIA FIRE OFFICERS UNION","2500-02 LEFEVRE ST, PHILADELPHIA PA 19137","2500-02 LEFEVRE ST, PHILADELPHIA PA 19137","PHILADELPHIA FIRE OFFICERS UNION","LISA SHOUSKY","Philadelphia County","Philadelphia City","Aug 11,2025","Oct 31,2026",-75.0745793,40.002951
"16",1713,"C3679","Club (Liquor)","Active","CPL. JOHN LOUDENSLAGER POST NO 366 AMERICAN LEGION","CPL. JOHN LOUDENSLAGER POST NO 366 AMERICAN LEGION","7976 OXFORD AVE, PHILADELPHIA PA 19111-2241","7976 OXFORD AVE, PHILADELPHIA PA 19111-2241","CPL. JOHN LOUDENSLAGER POST NO 366 AMERICAN LEGION","WALLACE J QUINLAN","Philadelphia County","Philadelphia City","Sep 23,2025","Oct 31,2026",-75.085525,40.0768258
"17",941,"C1420","Club (Liquor)","Active","VETERANS HOME ASSOCIATION OF PENN CENTRAL POST 204","VETERANS HOME ASSOCIATION OF PENN CENTRAL POST 204","3924 CHESTNUT ST, PHILADELPHIA PA 19104-3111","3924 CHESTNUT ST, PHILADELPHIA PA 19104-3111","VETERANS HOME ASSOCIATION OF PENN CENTRAL POST 204","HENRY P MCILHENNY","Philadelphia County","Philadelphia City","May 5,2026","Oct 31,2026",-75.20137,39.9552973
"18",703,"C763","Club (Liquor)","Active","BOLESLAW GROCHOWSKI AMERICAN LEGION POST 396","BOLESLAW GROCHOWSKI AMERICAN LEGION POST 396","2171 WAKELING ST, PHILADELPHIA PA 19124","2171 WAKELING ST, PHILADELPHIA PA 19124","BOLESLAW GROCHOWSKI POST 396","PATRICK  J DRISCOLL II","Philadelphia County","Philadelphia City","Nov 6,2025","Oct 31,2026",-75.0722584,40.0103976
"19",3431,"CC3314","Catering Club (Liquor)","Active","THE KNIGHTS OF COLUMBUS HOME ASSOCIATION OF HOLMESBURG","THE KNIGHTS OF COLUMBUS HOME ASSOCIATION OF HOLMESBURG","3300 KNORR ST, PHILADELPHIA PA 19149-2629","3300 KNORR ST, PHILADELPHIA PA 19149-2629","THE KNIGHTS OF COLUMBUS HOME ASSOCIATION OF HOLMESBURG","TIMOTHY M THOMSON","Philadelphia County","Philadelphia City","Sep 25,2025","Oct 31,2026",-75.052034,40.0326952
"20",2822,"CC28","Catering Club (Liquor)","Active","THE PHILADELPHIA CLUB","THE PHILADELPHIA CLUB","1301 WALNUT ST, PHILADELPHIA PA 19107-4517","1301 WALNUT ST, PHILADELPHIA PA 19107-4517","THE PHILADELPHIA CLUB","GUY H HODGSON","Philadelphia County","Philadelphia City","Oct 14,2025","Oct 31,2026",-75.162263,39.9492955
"21",2898,"CC279","Catering Club (Liquor)","Active","THE ACORN CLUB","THE ACORN CLUB","1519 LOCUST ST, PHILADELPHIA PA 19102-3721","1519 LOCUST ST, PHILADELPHIA PA 19102-3721","THE ACORN CLUB","JENNIFER GALLAGHER","Philadelphia County","Philadelphia City","Aug 20,2026","Oct 31,2026",-75.1670785,39.9487426
"22",72496,"D3915","Distributor (Malt)","Active","1729 RIDDHI SHIDDI LLC","1729 RIDDHI SHIDDI LLC","1733-39 S 20TH ST, PHILADELPHIA PA 19145-2041","1733-39 S 20TH ST, PHILADELPHIA PA 19145-2041",NA,"KETANKUMAR B PATEL","Philadelphia County","Philadelphia City","Sep 9,2025","Oct 31,2026",-75.1782273,39.9294804
"23",25237,"D3809","Distributor (Malt)","Active","ANJON, INC.","ANJON, INC.","5008-10-12-14 LANCASTER AVE, PHILADELPHIA PA 19131","5008-10-12-14 LANCASTER AVE, PHILADELPHIA PA 19131",NA,"ANTHONY CATALANO JR","Philadelphia County","Philadelphia City","Sep 19,2025","Oct 31,2026",-75.2230058,39.9751521
"24",117592,"D3621","Distributor (Malt)","Active","C&L 2023 BEVERAGE INC","C&L 2023 BEVERAGE INC","6310 N BROAD ST, PHILADELPHIA PA 19141-2010","6310 N BROAD ST, PHILADELPHIA PA 19141-2010","TANG & HUANG LLC","JIN Y HUANG","Philadelphia County","Philadelphia City","Aug 18,2025","Oct 31,2026",-75.143015,40.049774
"25",71765,"D1689","Distributor (Malt)","Active","THIRTY NINE POINT FIVE INC","THIRTY NINE POINT FIVE INC","ACADEMY PLAZA SHOPPING CTR  3290 RED LION RD, PHILADELPHIA PA 19114-1109","ACADEMY PLAZA SHOPPING CTR  3290 RED LION RD, PHILADELPHIA PA 19114-1109",NA,"EDWARD BOND","Philadelphia County","Philadelphia City","Aug 6,2025","Oct 31,2026",-74.9936261,40.0799787
"26",93521,"D1963","Distributor (Malt)","Active","VALUE BEVERAGE INC","VALUE BEVERAGE INC","5901 WOODLAND AVE, PHILADELPHIA PA 19143","5901 WOODLAND AVE, PHILADELPHIA PA 19143","HAE PARK","SUNG M PARK","Philadelphia County","Philadelphia City","Oct 22,2025","Oct 31,2026",-75.2267175,39.9319489
"27",37699,"E1551","Eating Place Retail Dispenser (Malt)","Active","T & J SUSQUEHANNA, INC.","T & J SUSQUEHANNA, INC.","1201-03 W SUSQUEHANNA AVE, PHILADELPHIA PA 19122-1109","1201-03 W SUSQUEHANNA AVE, PHILADELPHIA PA 19122-1109",NA,"LEURY N LOPEZ OVALLE","Philadelphia County","Philadelphia City","Aug 5,2025","Oct 31,2026",-75.1525999,39.986006
"28",61017,"E368","Eating Place Retail Dispenser (Malt)","Active","NEW 1634 DELI INC","NEW 1634 DELI INC","1634 CECIL B MOORE AVE, PHILADELPHIA PA 19121-3229","1634 CECIL B MOORE AVE, PHILADELPHIA PA 19121-3229",NA,"JONG DO","Philadelphia County","Philadelphia City","Oct 20,2025","Oct 31,2026",-75.1626303,39.9791199
"29",54570,"E313","Eating Place Retail Dispenser (Malt)","Active","5215 MARKET, INC.","5215 MARKET, INC.","5215-17 MARKET ST, PHILADELPHIA PA 19139-3418","5215-17 MARKET ST, PHILADELPHIA PA 19139-3418",NA,"PETER LY","Philadelphia County","Philadelphia City","Jul 22,2025","Oct 31,2026",-75.2254615,39.9603489
"30",87142,"E551","Eating Place Retail Dispenser (Malt)","Active","GODFREY BEER & DELI TAKEOUT INC","GODFREY BEER & DELI TAKEOUT INC","910 W GODFREY AVE, PHILADELPHIA PA 19120","910 W GODFREY AVE, PHILADELPHIA PA 19120",NA,"YASMIN M MEDINA DE VASQUEZ","Philadelphia County","Philadelphia City","Jul 16,2025","Oct 31,2026",-75.1355762,40.0460695
"31",5766,"E4588","Eating Place Retail Dispenser (Malt)","Active","240 WEST CHELTEN ENTERPRISES INC","240 WEST CHELTEN ENTERPRISES INC","240 W CHELTEN AVE, PHILADELPHIA PA 19144-3803","240 W CHELTEN AVE, PHILADELPHIA PA 19144-3803",NA,"KYUNG KIM","Philadelphia County","Philadelphia City","Oct 16,2025","Oct 31,2026",-75.1799381,40.0303843
"32",57447,"E150","Eating Place Retail Dispenser (Malt)","Active","LA FAMILIA LATINA SUPERMARKET INC","LA FAMILIA LATINA SUPERMARKET INC","3357-61 N 5TH ST, PHILADELPHIA PA 19140-5601","3357-61 N 5TH ST, PHILADELPHIA PA 19140-5601",NA,"MIGUEL MONEGRO","Philadelphia County","Philadelphia City","Jul 8,2025","Oct 31,2026",-75.1376952,40.0026227
