"","LID","License Number","License Type","Status","Licensee","Premises","Premises Address","Premises Mailing Address","Premises Owner","Premises Manager","County","Municipality","Last Issue Date","Expiration Date","lon","lat"
"1","29179","AE19","Alcohol Tax-Exempt","Active","JEFFERSON HEALTH SERVICES","JEFFERSON HEALTH SERVICES","JEFFERSON HOSPITAL  COAL VLY RD, PITTSBURGH PA 15236","PO Box 18119, PITTSBURGH PA 15236-0119",NA,NA,"Allegheny County","Pittsburgh","Oct 3,2024","Dec 31,2028",-79.9334249,40.3173745
"2","113868","AL52520","Limited Distillery","Active","PITTSBURGH SPIRITS LLC","PITTSBURGH SPIRITS LLC","2401 SMALLMAN ST, PITTSBURGH PA 15222-4673","2401 SMALLMAN ST, PITTSBURGH PA 15222-4673","MCMMEM PROPERTIES LP","MICHAEL J FOGLIA","Allegheny County","Pittsburgh","Sep 19,2024","Dec 31,2025",-79.9815013,40.4543702
"3","72843","AN3196","Alcohol Non-Beverage","Active","WALGREENS SPECIALTY PHARMACY #16287","ALLIANCERX WALGREENS PRIME #16287","130 ENTERPRISE DR, PITTSBURGH PA 15275-1213","130 ENTERPRISE DR, PITTSBURGH PA 15275-1213",NA,NA,"Allegheny County","Findlay Twp","Dec 17,2024","Dec 31,2028",-80.1997096,40.4619874
"4","66572","AR142","Airport Restaurant (Liquor)","Active","PARADIES UNITED LLC","BEERCODE","PITTSBURGH INTERNATIONAL AIRPORT  CENTER CORE  1000 AIRPORT BLVD, PITTSBURGH PA 15231","PITTSBURGH INTERNATIONAL AIRPORT  PO BOX 12296, PITTSBURGH PA 15231","PARADIES UNITED LLC","GERALD E PONIATOWSKI","Allegheny County","Findlay Twp","May 8,2025","May 31,2026",-80.256853,40.4955466
"5","732","C851","Club (Liquor)","Active","BEECHVIEW LODGE NO. 609 LOYAL ORDER OF THE MOOSE 609","BEECHVIEW LODGE NO. 609 LOYAL ORDER OF THE MOOSE 609","1607 BROADWAY, PITTSBURGH PA 15216-3246","1607 BROADWAY, PITTSBURGH PA 15216-3246","BEECHVIEW LODGE NO. 609 LOYAL ORDER OF THE MOOSE 609","ANTHONY J IMBURGIA","Allegheny County","Pittsburgh","Mar 4,2025","May 31,2026",-80.0244389,40.4103228
"6","865","C1214","Club (Liquor)","Active","THE OLYMPIC ATHLETIC CLUB","THE OLYMPIC ATHLETIC CLUB","520 ALEXANDER ST, PITTSBURGH PA 15220","520 ALEXANDER ST, PITTSBURGH PA 15220","THE OLYMPIC ATHLETIC CLUB","MICHAEL J GREC","Allegheny County","Pittsburgh","May 15,2025","May 31,2026",-80.0345635,40.4416363
"7","1943","C4232","Club (Liquor)","Active","PITTSBURGH ASSOCIATION OF THE DEAF INC.","PITTSBURGH ASSOCIATION OF THE DEAF INC.","1854 FORBES AVE, PITTSBURGH PA 15219","1854 FORBES AVE, PITTSBURGH PA 15219","PITTSBURGH ASSOCIATION OF THE DEAF INC.","MICHAEL J WEBER","Allegheny County","Pittsburgh","Mar 31,2025","May 31,2026",-79.9796684,40.4371921
"8","1925","C4182","Club (Liquor)","Active","SPRING GARDEN SPORTSMEN'S CLUB","SPRING GARDEN SPORTSMEN'S CLUB","3335 SPRING GARDEN AVE, PITTSBURGH PA 15212-1253","3335 SPRING GARDEN AVE, PITTSBURGH PA 15212-1253","SPRING GARDEN SPORTSMEN'S CLUB","GARY M KILLMEYER","Allegheny County","Reserve Twp","Apr 7,2025","May 31,2026",-79.9954257,40.4795014
"9","964","CC44457","Catering Club (Liquor)","Active","MORNINGSIDE POST NO. 3945 VFW INC","VETERANS OF FOREIGN WARS INC. MORNINGSIDE POST NO. 3945","1820-22 MORNINGSIDE AVE, PITTSBURGH PA 15206","1820-22 MORNINGSIDE AVE, PITTSBURGH PA 15206","MORNINGSIDE POST NO. 3945 VFW INC","JAMES B FLAHERTY","Allegheny County","Pittsburgh","May 14,2025","May 31,2026",-79.9264051,40.4867777
"10","3230","CC1987","Catering Club (Liquor)","Active","ENGINEERS' SOCIETY OF WESTERN PENNSYLVANIA","ENGINEERS' SOCIETY OF WESTERN PENNSYLVANIA","337 FOURTH AVE, PITTSBURGH PA 15222-2095","337 FOURTH AVE, PITTSBURGH PA 15222-2095","ENGINEERS' SOCIETY OF WESTERN PENNSYLVANIA","DAVID TEORSKY","Allegheny County","Pittsburgh","Mar 26,2025","May 31,2026",-79.9999069,40.4391475
